Date;Open;High;Low;Close;Volume;MarketCap
21/09/2015;231.22;231.22;226.52;227.09;19678800;3383840000
20/09/2015;231.40;232.37;230.91;231.21;14444700;3385770000
19/09/2015;232.86;233.21;231.09;231.49;12712600;3406390000
18/09/2015;233.52;234.35;232.19;232.97;20242200;3415440000
17/09/2015;229.08;230.28;228.93;229.81;18935400;3349390000
16/09/2015;230.25;231.22;227.40;229.09;20144200;3365740000
15/09/2015;230.49;259.18;229.82;230.30;19177800;3368360000
14/09/2015;230.61;232.44;227.96;230.64;20997800;3369190000
13/09/2015;235.24;235.94;229.33;230.51;18478800;3435990000
12/09/2015;239.85;240.12;234.75;235.23;17962600;3502520000
11/09/2015;238.33;241.17;238.33;240.11;19224700;3479310000
10/09/2015;238.34;241.29;235.79;238.48;21215500;3478410000
09/09/2015;243.41;244.42;237.82;238.17;23635700;3551640000
08/09/2015;239.85;245.78;239.68;243.61;26879200;3498750000
07/09/2015;239.93;242.11;238.72;239.85;21192200;3499120000
06/09/2015;234.87;242.91;234.68;239.84;25473700;3424420000
05/09/2015;230.20;236.14;229.44;235.02;20671400;3355470000
04/09/2015;227.22;230.90;227.05;230.30;20962400;3311080000
03/09/2015;229.32;229.60;226.67;227.18;17482000;3340990000
02/09/2015;228.03;230.58;226.47;229.28;18760400;3321180000
01/09/2015;230.26;231.22;226.86;228.12;20575200;3352760000
31/08/2015;229.11;231.96;225.91;230.06;20710700;3335220000
30/08/2015;229.90;232.07;226.25;228.76;19412600;3345740000
29/08/2015;231.55;233.22;227.33;229.78;17142500;3368880000
28/08/2015;224.70;235.22;220.93;231.40;31336600;3268370000
27/08/2015;226.05;228.64;223.68;224.77;21905400;3287220000
26/08/2015;222.08;231.18;220.20;225.83;31808000;3228540000
25/08/2015;210.07;226.32;199.57;221.61;61089200;3053250000
24/08/2015;228.11;228.14;210.44;210.50;59220700;3314640000
23/08/2015;230.38;232.71;225.58;228.17;18406600;3346760000
22/08/2015;232.66;234.96;222.70;230.39;23205900;3379050000
21/08/2015;235.35;236.43;231.72;232.57;23173800;3417200000
20/08/2015;226.90;237.37;226.90;235.35;32275000;3293570000
19/08/2015;225.67;237.41;222.77;226.68;60869200;3274860000
18/08/2015;257.93;257.99;211.08;211.08;42147200;3742020000
17/08/2015;258.49;260.50;257.12;257.98;21617900;3749260000
16/08/2015;261.87;262.44;257.04;258.51;29717000;3797330000
15/08/2015;265.53;266.67;261.30;261.55;19321100;3849530000
14/08/2015;264.13;267.47;261.48;265.68;27091200;3828340000
13/08/2015;266.18;266.23;262.84;264.08;27685500;3857090000
12/08/2015;270.60;270.67;265.47;266.38;26815400;3920210000
11/08/2015;264.34;270.39;264.09;270.39;25433900;3828500000
10/08/2015;265.48;267.03;262.60;264.47;20979400;3843850000
09/08/2015;261.12;267.00;260.47;265.08;23789600;3779770000
08/08/2015;279.74;279.93;260.71;261.00;58533000;4048270000
07/08/2015;278.74;280.39;276.37;279.58;42484800;4032820000
06/08/2015;281.91;281.91;278.40;278.58;18792100;4077600000
05/08/2015;284.85;285.50;281.49;281.88;20128000;4119190000
04/08/2015;281.23;285.71;281.23;285.22;21908700;4065870000
03/08/2015;282.81;285.47;280.23;281.23;21474100;4087610000
02/08/2015;280.45;283.03;277.53;282.61;17722200;4052470000
01/08/2015;284.69;284.93;278.11;281.60;18995000;4112610000
31/07/2015;287.70;288.96;282.34;284.65;23629100;4155010000
30/07/2015;289.10;290.13;286.57;287.72;21635800;4174360000
29/07/2015;294.48;294.54;288.78;289.59;24672600;4250940000
28/07/2015;293.63;296.65;293.42;294.43;25453600;4237650000
27/07/2015;292.64;297.77;287.45;293.62;30592000;4222210000
26/07/2015;288.64;293.05;287.71;292.69;16032300;4163470000
25/07/2015;288.16;290.73;286.00;288.70;20662200;4155500000
24/07/2015;276.00;289.25;275.25;288.28;37199400;3978990000
23/07/2015;277.34;278.11;275.72;276.05;18531300;3997290000
22/07/2015;275.66;277.67;274.38;277.22;19389800;3971960000
21/07/2015;278.88;280.55;275.42;275.83;22930700;4017540000
20/07/2015;273.50;278.98;272.96;278.98;22711400;3938930000
19/07/2015;274.77;275.67;272.51;273.61;15332500;3956140000
18/07/2015;279.33;282.53;274.07;274.90;25187100;4020820000
17/07/2015;278.09;280.28;272.04;279.47;27591400;4001950000
16/07/2015;286.04;291.18;275.24;278.09;49482600;4115410000
15/07/2015;288.05;293.25;285.37;285.83;27486600;4143120000
14/07/2015;292.03;296.15;286.64;287.46;28727200;4199450000
13/07/2015;310.83;310.95;281.01;292.05;62053900;4468540000
12/07/2015;293.14;314.39;292.50;310.87;56405000;4213280000
11/07/2015;284.88;298.51;283.53;293.12;41109900;4093500000
10/07/2015;269.16;294.59;268.80;284.89;100390000;3866510000
09/07/2015;270.83;272.33;267.09;269.23;40301200;3889620000
08/07/2015;265.98;272.97;264.39;270.79;36980200;3818970000
07/07/2015;269.96;271.34;264.83;266.21;28857600;3875220000
06/07/2015;271.11;277.42;267.60;269.03;49154800;3890430000
05/07/2015;260.81;274.51;258.70;271.91;44156100;3741670000
04/07/2015;256.49;261.46;254.20;260.89;15620400;3678800000
03/07/2015;255.46;257.08;253.50;256.34;19033800;3662970000
02/07/2015;258.55;261.63;254.12;255.41;21551900;3706320000
01/07/2015;263.35;265.17;255.77;258.62;27029800;3774140000
30/06/2015;257.04;267.87;255.95;263.07;44533800;3682790000
29/06/2015;248.72;257.17;248.58;257.06;34742900;3562790000
28/06/2015;250.96;251.17;247.43;249.01;15137600;3593900000
27/06/2015;243.55;251.34;243.12;250.99;20488600;3487060000
26/06/2015;242.60;243.75;241.55;243.59;13983500;3472580000
25/06/2015;240.37;243.33;240.37;242.80;16133100;3439620000
24/06/2015;244.28;244.34;240.51;240.51;17344900;3494730000
23/06/2015;246.93;247.30;243.13;244.30;15108700;3531700000
22/06/2015;243.97;247.92;243.78;246.99;17692500;3488460000
21/06/2015;245.10;245.22;241.88;243.94;10600900;3503880000
20/06/2015;244.53;245.83;240.63;245.21;20608100;3494910000
19/06/2015;249.04;250.98;243.79;244.61;23965300;3558500000
18/06/2015;249.43;252.11;244.13;249.01;30980200;3563010000
17/06/2015;250.82;256.85;246.48;249.28;43858400;3581960000
16/06/2015;236.76;251.74;236.12;250.90;41612000;3380500000
15/06/2015;233.42;237.84;233.42;236.82;19912100;3331930000
14/06/2015;232.44;234.86;232.00;233.54;12165900;3317080000
13/06/2015;229.92;232.65;229.21;232.40;13305300;3280180000
12/06/2015;229.71;231.06;229.31;229.98;14017700;3276290000
11/06/2015;228.85;230.29;228.77;229.71;14416000;3263390000
10/06/2015;229.00;229.78;228.01;228.80;15904800;3264420000
09/06/2015;228.54;230.95;227.93;229.05;28353100;3257050000
08/06/2015;222.88;229.46;222.84;228.49;23378400;3175520000
07/06/2015;225.60;226.19;222.65;222.88;13318400;3213390000
06/06/2015;225.00;225.72;224.38;225.62;11131500;3203980000
05/06/2015;224.15;225.97;223.18;224.95;18056500;3191080000
04/06/2015;225.77;226.58;224.05;224.32;14728100;3213320000
03/06/2015;225.74;227.40;223.93;225.87;17752400;3212010000
02/06/2015;222.89;226.42;222.42;225.80;20459000;3170730000
01/06/2015;230.23;231.71;221.30;222.93;26090500;3274370000
31/05/2015;233.13;233.25;229.54;230.19;14730800;3314780000
30/05/2015;237.09;237.09;232.05;233.34;14098600;3370240000
29/05/2015;237.38;237.52;235.73;237.10;14805000;3373380000
28/05/2015;237.26;237.82;236.65;237.41;13829600;3370890000
27/05/2015;237.06;238.64;236.69;237.28;18837000;3367340000
26/05/2015;237.10;238.24;235.69;237.12;16425000;3367040000
25/05/2015;240.93;241.02;236.64;237.11;14423900;3420480000
24/05/2015;238.98;241.98;238.81;240.95;11508000;3391910000
23/05/2015;240.29;241.03;238.69;238.87;14605000;3409830000
22/05/2015;235.32;240.97;235.06;240.35;27003000;3338560000
21/05/2015;234.02;236.24;233.84;235.34;15108900;3319140000
20/05/2015;231.89;234.68;231.84;234.02;15499400;3288140000
19/05/2015;233.04;234.15;231.82;231.95;14241900;3303650000
18/05/2015;236.89;237.21;232.46;233.13;16780300;3357380000
17/05/2015;236.01;238.03;236.01;236.80;11134300;3343940000
16/05/2015;237.64;237.70;235.29;236.15;11089700;3366300000
15/05/2015;236.96;238.75;236.79;237.60;16329400;3355680000
14/05/2015;236.21;237.80;234.06;236.93;24413700;3344280000
13/05/2015;241.40;243.70;235.04;236.38;27180100;3416690000
12/05/2015;242.15;242.88;240.10;241.11;19282600;3426350000
11/05/2015;240.30;244.27;239.38;242.16;20892300;3399290000
10/05/2015;241.73;244.07;238.85;240.30;15019100;3418740000
09/05/2015;243.77;247.80;239.64;241.83;19790500;3446790000
08/05/2015;237.20;246.28;236.27;243.86;27445500;3353090000
